№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
5,Кокрок с картофелем,Пюре картофельное (картоф+ маргарин)  п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,033",,,,,
6,,,,,,,,,,, ,,,,,,,
7,,,,,,,,,,, ,,,,,,,
8,,,,,,,,,,, ,,,,,,,
9,,,,,,,,,,, ,,,,,,,
10,,,,,,,,,,, ,,,,,,,
11,,,,,,,,,,, ,,,,,,,
12,,,,,,,,,,, ,,,,,,,
13,,,,,,,,,,, ,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0777",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Кокрок с творогом,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688628,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Кокрок с творогом,,,,,,
 28.05.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Кокрок с творогом,Тесто на кокроки п/ф,,,,кг,"0,055",,"0,055",,"  0,0550 ",,"0,043","Формовка: Тесто делить на заготовки массой 55 гр, округлить. Раскатать заготовки в круг толщиной 0.5-1 см. На одну половину теста выложить творожную начинку 40 гр, закрыть начинку другой стороной теста, защипать  и придать форму полукруга. Тестовые заготовки укладывать на смазанный маслом плоский алюминиевый лист размеры 600х400 мм по 15 шт (5 поперек листа * 4 вдоль листа) расстояние между заготовками   1.5-2 см.
Выпечка Печь конвекционная: Перед выпечкой смазать заготовки  меланжем ,посыпать
сахаром. Выпекать при t=200°c 15-20 мин. Убрать лист с готовой продукцией на стеллаж (шпилька).
Выпечка Печь подовая: Перед выпечкой смазать заготовки меланжем, обсыпать сахарным песком.  Выпекать при t верхнего пода 200°c, нижнего пода 180°c время выпечки 15-20 мин. Убрать лист с готовой продукцией на стеллаж.



ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Кокрок с творогом,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Кокрок с творогом,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,003",,,,,
4,Кокрок с творогом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,002",,"0,008",,"  0,0080 ",,"0,000",,,,,
5,Кокрок с творогом,САХАР ПЕСОК,,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,000",,,,,
6,Кокрок с творогом,Начинка творожная для розан с загустителем п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,040",,,,,
7,,,,,,,,,,, ,,,,,,,
8,,,,,,,,,,, ,,,,,,,
9,,,,,,,,,,, ,,,,,,,
10,,,,,,,,,,, ,,,,,,,
11,,,,,,,,,,, ,,,,,,,
12,,,,,,,,,,, ,,,,,,,
13,,,,,,,,,,, ,,,,,,,
14,,,,,,,,,,, ,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0866",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Кокрок с яблоком,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629129,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Кокрок с яблоком,,,,,,
 28.05.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Кокрок с яблоком,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000","Формовка: Тесто делить на заготовки массой 55 гр, округлить. Раскатать заготовки в круг толщиной 0.5-1 см. На одну половину теста выложить фарш капустный 40 гр, закрыть фарш другой стороной теста, защипать  и придать форму полукруга. Тестовые заготовки укладывать на смазанный маслом плоский алюминиевый лист размеры 600х400 мм по 20 шт (5 поперек листа х 4 вдоль листа), расстояние между заготовками   1.5-2 см.
Выпечка Печь конвекционная: Перед выпечкой смазать заготовки меланжем. Выпекать при t=200°c 15-20 мин. Убрать лист с готовой продукцией на стеллаж (шпилька).
Выпечка Печь подовая: Перед выпечкой смазать заготовки меланжем  Выпекать при t верхнего пода 200°c, нижнего пода 180°c время выпечки 15-25 мин. Убрать лист с готовой 

продукцией на стеллаж.

ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Кокрок с яблоком,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,002",,"0,008",,"  0,0080 ",,"0,000",,,,,
3,Кокрок с яблоком,Тесто на кокроки п/ф,,,,кг,"0,055",,"0,055",,"  0,0550 ",,"0,055",,,,,
4,Кокрок с яблоком,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
5,Кокрок с яблоком,фарш яблочный п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,040",,,,,
6,,,,,,,,,,, ,,,,,,,
7,,,,,,,,,,, ,,,,,,,
8,,,,,,,,,,, ,,,,,,,
9,,,,,,,,,,, ,,,,,,,
10,,,,,,,,,,, ,,,,,,,
11,,,,,,,,,,, ,,,,,,,
12,,,,,,,,,,, ,,,,,,,
13,,,,,,,,,,, ,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0990",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Мини Булочка с курагой,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630324,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Мини Булочка с курагой,,,,,,
 20.04.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",,"Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
1,Мини Булочка с курагой,Тесто Сдобное п/ф,,,,кг,"0,040",,"0,040",,"0,040",,"0,040","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Мини Булочка с курагой,КОНФИТЮР АБРИКОС 13 КГ,,,,кг,"0,020",,"0,020",,"0,020",,"0,020",,,,,
3,Мини Булочка с курагой,Меланж (битое яйцо 10 шт),,,,кг,"0,002",,"0,002",,"0,002",,"0,002",,,,,
4,Мини Булочка с курагой,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"0,002",,"0,002",,,,,
5,Мини Булочка с курагой,Сироп для пропитки,,,,кг,"0,002",,"0,002",,"0,002",,"0,002",,,,,
6,Мини Булочка с курагой,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,"0,000",,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0658",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Мини Булочка Французская,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629632,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Мини Булочка Французская,,,,,,
 19.04.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Мини Булочка Французская,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,040",,"0,040",,"0,040",,"0,040","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Мини Булочка Французская,Крем Заварной Фрио на воде,,,,кг,"0,006",,"0,006",,"0,006",,"0,006",,,,,
3,Мини Булочка Французская,ИЗЮМ ЧИЩЕННЫЙ,,,,кг,"0,005",,"0,005",,"0,005",,"0,005",,,,,
4,Мини Булочка Французская,Меланж (битое яйцо 10 шт),,,,кг,"0,002",,"0,002",,"0,002",,"0,002",,,,,
5,Мини Булочка Французская,Сироп для пропитки,,,,кг,"0,002",,"0,002",,"0,002",,"0,002",,,,,
6,Мини Булочка Французская,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,"0,000",,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0550",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Мини Датская булочка с маком,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923640907,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Мини Датская булочка с маком,,,,,,
 20.04.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Мини Датская булочка с маком,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,040",,"0,040",,"0,040",,"0,040","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Мини Датская булочка с маком,"НАЧИНКА МАКОВАЯ (готовая) 12,5",,,,кг,"0,008",,"0,008",,"0,008",,"0,008",,,,,
3,Мини Датская булочка с маком,Штрейзельная крошка п/ф,,,,кг,"0,006",,"0,006",,"0,006",,"0,006",,,,,
4,Мини Датская булочка с маком,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"0,002",,"0,002",,,,,
5,Мини Датская булочка с маком,Сироп для пропитки,,,,кг,"0,002",,"0,002",,"0,002",,"0,002",,,,,
6,Мини Датская булочка с маком,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,"0,000",,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0578",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Мини Круассан творог,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630319,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Мини Круассан творог,,,,,,
 19.04.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Мини Круассан творог,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,040",,"0,040",,"0,040",,"0,040","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Мини Круассан творог,Меланж (битое яйцо 10 шт),,,,кг,"0,002",,"0,002",,"0,002",,"0,000",,,,,
3,Мини Круассан творог,Начинка творожная для розан с загустителем п/ф 1 кг,,,,кг,"0,015",,"0,015",,"0,015",,"0,015",,,,,
4,Мини Круассан творог,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,002",,"0,002",,"0,002",,"0,000",,,,,
5,Мини Круассан творог,КУНЖУТ БЕЛЫЙ,,,,кг,"0,001",,"0,001",,"0,001",,"0,001",,,,,
6,Мини Круассан творог,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,"0,000",,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0560",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Мини Пирожок с вишней,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630140,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Мини Пирожок с вишней,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Мини Пирожок с вишней,Тесто Сдобное п/ф,,,,кг,"0,040",,"0,040",,"0,040",,"0,040","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Мини Пирожок с вишней,Начинка вишневая для пирожков,,,,кг,"0,020",,"0,020",,"0,020",,"0,020",,,,,
3,Мини Пирожок с вишней,САХАР ПЕСОК,,,,кг,"0,010",,"0,010",,"0,010",,"0,010",,,,,
4,Мини Пирожок с вишней,Штрейзельная крошка п/ф,,,,кг,"0,003",,"0,003",,"0,003",,"0,003",,,,,
5,Мини Пирожок с вишней,Меланж (битое яйцо 10 шт),,,,кг,"0,002",,"0,002",,"0,002",,"0,002",,,,,
6,Мини Пирожок с вишней,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,002",,"0,009",,"0,009",,"0,009",,,,,
7,Мини Пирожок с вишней,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,"0,000",,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0840",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Мини Пирожок яблочный,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629915,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Мини Пирожок яблочный,,,,,,
 01.12.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Мини Пирожок яблочный,Тесто Сдобное п/ф,,,,кг,"0,040",,"0,040",,"0,040",,"0,040","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Мини Пирожок яблочный,Яблоки очищенные без кожицы (Кубик/дольки) п/ф 1 кг,,,,кг,"0,020",,"0,020",,"0,020",,"0,020",,,,,
3,Мини Пирожок яблочный,САХАР ПЕСОК,,,,кг,"0,007",,"0,007",,"0,007",,"0,007",,,,,
4,Мини Пирожок яблочный,Штрейзельная крошка п/ф,,,,кг,"0,003",,"0,003",,"0,003",,"0,003",,,,,
5,Мини Пирожок яблочный,Меланж (битое яйцо 10 шт),,,,кг,"0,002",,"0,002",,"0,002",,"0,002",,,,,
6,Мини Пирожок яблочный,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"0,002",,"0,002",,,,,
7,Мини Пирожок яблочный,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,"0,000",,"0,000",,,,,
8,Мини Пирожок яблочный,ЗАГУСТИТЕЛЬ - САФТИЯ,,,,кг,"0,001",,"0,001",,"0,001",,"0,001",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0751",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Мини Рогалик со сгущенкой,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629628,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Мини Рогалик со сгущенкой,,,,,,
 19.05.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Мини Рогалик со сгущенкой,Тесто Сдобное п/ф,,,,кг,"0,040",,"0,040",,"0,040",,"0,032","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Мини Рогалик со сгущенкой,СГУЩЕНКА ВАРЕНАЯ,,,,кг,"0,013",,"0,013",,"0,013",,"0,011",,,,,
3,Мини Рогалик со сгущенкой,Меланж (битое яйцо 10 шт),,,,кг,"0,002",,"0,002",,"0,002",,"0,000",,,,,
4,Мини Рогалик со сгущенкой,САХАРНАЯ ПУДРА,,,,кг,"0,002",,"0,002",,"0,002",,"0,000",,,,,
5,Мини Рогалик со сгущенкой,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,"0,000",,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0431",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Мини Розанчик с творогом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629630,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Мини Розанчик с творогом,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Мини Розанчик с творогом,Тесто Сдобное п/ф,,,,кг,"0,040",,"0,040",,"0,040",,"0,030","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Мини Розанчик с творогом,САХАРНАЯ ПУДРА,,,,кг,"0,003",,"0,003",,"0,003",,"0,003",,,,,
3,Мини Розанчик с творогом,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,003",,"0,003",,"0,003",,"0,000",,,,,
4,Мини Розанчик с творогом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,002",,"0,009",,"0,009",,"0,000",,,,,
5,Мини Розанчик с творогом,Начинка творожная для розан с загустителем п/ф 1 кг,,,,кг,"0,030",,"0,030",,"0,030",,"0,030",,,,,
6,Мини Розанчик с творогом,Меланж (битое яйцо 10 шт),,,,кг,"0,003",,"0,003",,"0,003",,"0,003",,,,,
7,Мини Розанчик с творогом,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,002",,"0,009",,"0,009",,"0,009",,,,,
8,Мини Розанчик с творогом,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,"0,000",,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0750",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Мини Улитка с маком,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629637,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Мини Улитка с маком,,,,,,
 19.04.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Мини Улитка с маком,Тесто Сдобное п/ф,,,,кг,"0,040",,"0,040",,"0,040",,"0,033","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Мини Улитка с маком,"НАЧИНКА МАКОВАЯ (готовая) 12,5",,,,кг,"0,007",,"0,007",,"0,007",,"0,007",,,,,
3,Мини Улитка с маком,Меланж (битое яйцо 10 шт),,,,кг,"0,002",,"0,002",,"0,002",,"0,000",,,,,
4,Мини Улитка с маком,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"0,002",,"0,000",,,,,
5,Мини Улитка с маком,Сироп для пропитки,,,,кг,"0,002",,"0,002",,"0,002",,"0,002",,,,,
6,Мини Улитка с маком,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,"0,000",,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0416",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
